rank;location;snowfall
206;TUPELO, MS;3.3
207;HUNTSVILLE, AL;3
208;DALLAS-FORT WORTH, TX;3
209;ATHENS, GA;2.4
210;ATLANTA, GA;2.2
211;WILMINGTON, NC;2.2
212;COLUMBIA, SC;2
213;BIRMINGHAM C.O.,AL;1.9
214;CAPE HATTERAS, NC;1.9
215;SHREVEPORT, LA;1.7
216;WACO, TX;1.7
217;BIRMINGHAM AP,AL;1.5
218;LAS VEGAS, NV;1.3
219;TUCSON, AZ;1.2
220;AUGUSTA,GA;1.2
221;MERIDIAN, MS;1.2
222;JACKSON, MS;1
223;AUSTIN, TX;1
224;MACON, GA;0.9
225;DEL RIO, TX;0.9
226;CHARLESTON AP,SC;0.8
227;SAN ANTONIO, TX;0.7
228;COLUMBUS, GA;0.5
229;MOBILE, AL;0.4
230;MONTGOMERY, AL;0.4
231;SAVANNAH, GA;0.4
232;HOUSTON, TX;0.4
233;LAKE CHARLES, LA;0.3
234;PORT ARTHUR, TX;0.3
235;EUREKA, CA;0.2
236;PENSACOLA, FL;0.2
237;BATON ROUGE, LA;0.2
238;NEW ORLEANS, LA;0.2
239;GALVESTON, TX;0.2
240;FRESNO, CA;0.1
241;VICTORIA, TX;0.1
242;SANTA BARBARA, CA;0
243;FORT MYERS, FL;0
244;KEY WEST, FL;0
245;HILO, HI;0
246;HONOLULU,HI;0
247;KAHULUI, HI;0
248;LIHUE, HI;0
